,Date,hamar,krsand,namsos,troms,bergen
244,2014-09-02,,,,,
245,2014-09-03,,,,,
246,2014-09-04,,,,,
247,2014-09-05,,,,,
248,2014-09-06,,,,,
249,2014-09-07,,,,,
250,2014-09-08,,,,,
251,2014-09-09,,,,,
252,2014-09-10,,,,,
253,2014-09-11,,,,,
254,2014-09-12,,,,,
255,2014-09-13,,,,,
256,2014-09-14,,,,,
257,2014-09-15,,,,,
258,2014-09-16,,,,,
259,2014-09-17,,,,,
260,2014-09-18,,,,,
261,2014-09-19,,,,,
262,2014-09-20,,,,,
263,2014-09-21,,,,,
264,2014-09-22,,,,,
265,2014-09-23,,,,,
266,2014-09-24,,,,,
267,2014-09-25,,,,,
268,2014-09-26,,,,,
269,2014-09-27,,,,,
270,2014-09-28,,,,,
271,2014-09-29,,,,,
272,2014-09-30,,,,,
273,2014-10-01,,,,,
274,2014-10-02,,,,,
275,2014-10-03,,,,,
276,2014-10-04,,,,,
277,2014-10-05,,,,,
278,2014-10-06,,,,,
279,2014-10-07,,,,,
280,2014-10-08,,,,,
281,2014-10-09,,,,,
282,2014-10-10,,,,,
283,2014-10-11,,,,,
284,2014-10-12,,,,,
285,2014-10-13,,,,,
286,2014-10-14,,,,,
287,2014-10-15,,,,,
288,2014-10-16,,,,,
289,2014-10-17,,,,,
290,2014-10-18,,,,,
291,2014-10-19,,,,,
292,2014-10-20,,,,,
293,2014-10-21,,,,,
294,2014-10-22,,,,,
295,2014-10-23,,,,,
296,2014-10-24,,,,,
297,2014-10-25,,,,,
298,2014-10-26,,,,,
299,2014-10-27,,,,,
300,2014-10-28,,,,,
301,2014-10-29,,,,,
302,2014-10-30,,,,,
303,2014-10-31,,,,,
304,2014-11-01,,,,,
305,2014-11-02,,,,,
306,2014-11-03,,,,,
307,2014-11-04,,,,,
308,2014-11-05,,,,,
309,2014-11-06,,,,,
310,2014-11-07,,,,,
311,2014-11-08,,,,,
312,2014-11-09,,,,,
313,2014-11-10,,,,,
314,2014-11-11,,,,,
315,2014-11-12,,,,,
316,2014-11-13,,,,,
317,2014-11-14,,,,,
318,2014-11-15,,,,,
319,2014-11-16,,,,,
320,2014-11-17,,,,,
321,2014-11-18,,,,,
322,2014-11-19,,,,,
323,2014-11-20,,,,,
324,2014-11-21,,,,,
325,2014-11-22,,,,,
326,2014-11-23,,,,,
327,2014-11-24,,,,,
328,2014-11-25,,,,,
329,2014-11-26,,,,,
330,2014-11-27,,,,,
331,2014-11-28,,,,,
332,2014-11-29,,,,,
333,2014-11-30,,,,,
334,2014-12-01,,,,,
335,2014-12-02,,,,,
336,2014-12-03,,,,,
337,2014-12-04,,,,,
338,2014-12-05,,,,,
339,2014-12-06,,,,,
340,2014-12-07,,,,,
341,2014-12-08,,,,,
342,2014-12-09,,,,,
343,2014-12-10,,,,,
344,2014-12-11,,,,,
345,2014-12-12,,,,,
346,2014-12-13,,,,,
347,2014-12-14,,,,,
348,2014-12-15,,,,,
349,2014-12-16,,,,,
350,2014-12-17,,,,,
351,2014-12-18,,,,,
352,2014-12-19,,,,,
353,2014-12-20,,,,,
354,2014-12-21,,,,,
355,2014-12-22,,,,,
356,2014-12-23,,,,,
357,2014-12-24,,,,,
358,2014-12-25,,,,,
359,2014-12-26,,,,,
360,2014-12-27,,,,,
361,2014-12-28,,,,,
362,2014-12-29,,,,,
363,2014-12-30,,,,,
364,2014-12-31,,,,,
365,2015-01-01,,,,,
366,2015-01-02,,,,,
367,2015-01-03,,,,,
368,2015-01-04,,,,,
369,2015-01-05,,,,,
370,2015-01-06,,,,,
371,2015-01-07,,,,,
372,2015-01-08,,,,,
373,2015-01-09,,,,,
374,2015-01-10,,,,,
375,2015-01-11,,,,,
376,2015-01-12,,,,,
377,2015-01-13,,,,,
378,2015-01-14,,,,,
379,2015-01-15,,,,,
380,2015-01-16,,,,,
381,2015-01-17,,,,,
382,2015-01-18,,,,,
383,2015-01-19,,,,,
384,2015-01-20,,,,,
385,2015-01-21,,,,,
386,2015-01-22,,,,,
387,2015-01-23,,,,,
388,2015-01-24,,,,,
389,2015-01-25,,,,,
390,2015-01-26,,,,,
391,2015-01-27,,,,,
392,2015-01-28,,,,,
393,2015-01-29,,,,,
394,2015-01-30,,,,,
395,2015-01-31,,,,,
396,2015-02-01,,,,,
397,2015-02-02,,,,,
398,2015-02-03,,,,,
399,2015-02-04,,,,,
400,2015-02-05,,,,,
401,2015-02-06,,,,,
402,2015-02-07,,,,,
403,2015-02-08,,,,,
404,2015-02-09,,,,,
405,2015-02-10,,,,,
406,2015-02-11,,,,,
407,2015-02-12,,,,,
408,2015-02-13,,,,,
409,2015-02-14,,,,,
410,2015-02-15,,,,,
411,2015-02-16,,,,,
412,2015-02-17,,,,,
413,2015-02-18,,,,,
414,2015-02-19,,,,,
415,2015-02-20,,,,,
416,2015-02-21,,,,,
417,2015-02-22,,,,,
418,2015-02-23,,,,,
419,2015-02-24,,,,,
420,2015-02-25,,,,,
421,2015-02-26,,,,,
422,2015-02-27,,,,,
423,2015-02-28,,,,,
424,2015-03-01,,,,,
425,2015-03-02,,,,,
426,2015-03-03,,,,,
427,2015-03-04,,,,,
428,2015-03-05,,,,,
429,2015-03-06,,,,,
430,2015-03-07,,,,,
431,2015-03-08,,,,,
432,2015-03-09,,,,,
433,2015-03-10,,,,,
434,2015-03-11,,,,,
435,2015-03-12,,,,,
436,2015-03-13,,,,,
437,2015-03-14,,,,,
438,2015-03-15,,,,,
439,2015-03-16,,,,,
440,2015-03-17,,,,,
441,2015-03-18,,,,,
442,2015-03-19,,,,,
443,2015-03-20,,,,,
444,2015-03-21,,,,,
445,2015-03-22,,,,,
446,2015-03-23,,,,,
447,2015-03-24,,,,,
448,2015-03-25,,,,,
449,2015-03-26,,,,,
450,2015-03-27,,,,,
451,2015-03-28,,,,,
452,2015-03-29,,,,,
453,2015-03-30,,,,,
454,2015-03-31,,,,,
455,2015-04-01,,,,,
456,2015-04-02,,,,,
457,2015-04-03,,,,,
458,2015-04-04,,,,,
459,2015-04-05,,,,,
460,2015-04-06,,,,,
461,2015-04-07,,,,,
462,2015-04-08,,,,,
463,2015-04-09,,,,,
464,2015-04-10,,,,,
465,2015-04-11,,,,,
466,2015-04-12,,,,,
467,2015-04-13,,,,,
468,2015-04-14,,,,,
469,2015-04-15,,,,,
470,2015-04-16,,,,,
471,2015-04-17,,,,,
472,2015-04-18,,,,,
473,2015-04-19,,,,,
474,2015-04-20,,,,,
475,2015-04-21,,,,,
476,2015-04-22,,,,,
477,2015-04-23,,,,,
478,2015-04-24,,,,,
479,2015-04-25,,,,,
480,2015-04-26,,,,,
481,2015-04-27,,,,,
482,2015-04-28,,,,,
483,2015-04-29,,,,,
484,2015-04-30,,,,,
485,2015-05-01,,,,,
486,2015-05-02,,,,,
487,2015-05-03,,,,,
488,2015-05-04,,,,,
489,2015-05-05,,,,,
490,2015-05-06,,,,,
491,2015-05-07,,,,,
492,2015-05-08,,,,,
493,2015-05-09,,,,,
494,2015-05-10,,,,,
495,2015-05-11,,,,,
496,2015-05-12,,,,,
497,2015-05-13,,,,,
498,2015-05-14,,,,,
499,2015-05-15,,,,,
500,2015-05-16,,,,,
501,2015-05-17,,,,,
502,2015-05-18,,,,,
503,2015-05-19,,,,,
504,2015-05-20,,,,,
505,2015-05-21,,,,,
506,2015-05-22,,,,,
507,2015-05-23,,,,,
508,2015-05-24,,,,,
509,2015-05-25,,,,,
510,2015-05-26,,,,,
511,2015-05-27,,,,,
512,2015-05-28,,,,,
513,2015-05-29,,,,,
514,2015-05-30,,,,,
515,2015-05-31,,,,,
516,2015-06-01,,,,,
517,2015-06-02,,,,,
518,2015-06-03,,,,,
519,2015-06-04,,,,,
520,2015-06-05,,,,,
521,2015-06-06,,,,,
522,2015-06-07,,,,,
523,2015-06-08,,,,,
524,2015-06-09,,,,,
525,2015-06-10,,,,,
526,2015-06-11,,,,,
527,2015-06-12,,,,,
528,2015-06-13,,,,,
529,2015-06-14,,,,,
530,2015-06-15,,,,,
531,2015-06-16,,,,,
532,2015-06-17,,,,,
533,2015-06-18,,,,,
534,2015-06-19,,,,,
535,2015-06-20,,,,,
536,2015-06-21,,,,,
537,2015-06-22,,,,,
538,2015-06-23,,,,,
539,2015-06-24,,,,,
540,2015-06-25,,,,,
541,2015-06-26,,,,,
542,2015-06-27,,,,,
543,2015-06-28,,,,,
544,2015-06-29,,,,,
545,2015-06-30,,,,,
546,2015-07-01,,,,,
547,2015-07-02,,,,,
548,2015-07-03,,,,,
549,2015-07-04,,,,,
550,2015-07-05,,,,,
551,2015-07-06,,,,,
552,2015-07-07,,,,,
553,2015-07-08,,,,,
554,2015-07-09,,,,,
555,2015-07-10,,,,,
556,2015-07-11,,,,,
557,2015-07-12,,,,,
558,2015-07-13,,,,,
559,2015-07-14,,,,,
560,2015-07-15,,,,,
561,2015-07-16,,,,,
562,2015-07-17,,,,,
563,2015-07-18,,,,,
564,2015-07-19,,,,,
565,2015-07-20,,,,,
566,2015-07-21,,,,,
567,2015-07-22,,,,,
568,2015-07-23,,,,,
569,2015-07-24,,,,,
570,2015-07-25,,,,,
571,2015-07-26,,,,,
572,2015-07-27,,,,,
573,2015-07-28,,,,,
574,2015-07-29,,,,,
575,2015-07-30,,,,,
576,2015-07-31,,,,,
577,2015-08-01,,,,,
578,2015-08-02,,,,,
579,2015-08-03,,,,,
580,2015-08-04,,,,,
581,2015-08-05,,,,,
582,2015-08-06,,,,,
583,2015-08-07,,,,,
584,2015-08-08,,,,,
585,2015-08-09,,,,,
586,2015-08-10,,,,,
587,2015-08-11,,,,,
588,2015-08-12,,,,,
589,2015-08-13,,,,,
590,2015-08-14,,,,,
591,2015-08-15,,,,,
592,2015-08-16,,,,,
593,2015-08-17,,,,,
594,2015-08-18,,,,,
595,2015-08-19,,,,,
596,2015-08-20,,,,,
597,2015-08-21,,,,,
598,2015-08-22,,,,,
599,2015-08-23,,,,,
600,2015-08-24,,,,,
601,2015-08-25,,,,,
602,2015-08-26,,,,,
603,2015-08-27,,,,,
604,2015-08-28,,,,,
605,2015-08-29,,,,,
606,2015-08-30,,,,,
607,2015-08-31,,,,,
608,2015-09-01,,,,,
609,2015-09-02,,,,,
610,2015-09-03,,,,,
611,2015-09-04,,,,,
612,2015-09-05,,,,,
613,2015-09-06,,,,,
614,2015-09-07,,,,,
615,2015-09-08,,,,,
616,2015-09-09,,,,,
617,2015-09-10,,,,,
618,2015-09-11,,,,,
619,2015-09-12,,,,,
620,2015-09-13,,,,,
621,2015-09-14,,,,,
622,2015-09-15,,,,,
623,2015-09-16,,,,,
624,2015-09-17,,,,,
625,2015-09-18,,,,,
626,2015-09-19,,,,,
627,2015-09-20,,,,,
628,2015-09-21,,,,,
629,2015-09-22,,,,,
630,2015-09-23,,,,,
631,2015-09-24,,,,,
632,2015-09-25,,,,,
633,2015-09-26,,,,,
634,2015-09-27,,,,,
635,2015-09-28,,,,,
636,2015-09-29,,,,,
637,2015-09-30,,,,,
638,2015-10-01,,,,,
639,2015-10-02,,,,,
640,2015-10-03,,,,,
641,2015-10-04,,,,,
642,2015-10-05,,,,,
643,2015-10-06,,,,,
644,2015-10-07,,,,,
645,2015-10-08,,,,,
646,2015-10-09,,,,,
647,2015-10-10,,,,,
648,2015-10-11,,,,,
649,2015-10-12,,,,,
650,2015-10-13,,,,,
651,2015-10-14,,,,,
652,2015-10-15,,,,,
653,2015-10-16,,,,,
654,2015-10-17,,,,,
655,2015-10-18,,,,,
656,2015-10-19,,,,,
657,2015-10-20,,,,,
658,2015-10-21,,,,,
659,2015-10-22,,,,,
660,2015-10-23,,,,,
661,2015-10-24,,,,,
662,2015-10-25,,,,,
663,2015-10-26,,,,,
664,2015-10-27,,,,,
665,2015-10-28,,,,,
666,2015-10-29,,,,,
667,2015-10-30,,,,,
668,2015-10-31,,,,,
669,2015-11-01,,,,,
670,2015-11-02,,,,,
671,2015-11-03,,,,,
672,2015-11-04,,,,,
673,2015-11-05,,,,,
674,2015-11-06,,,,,
675,2015-11-07,,,,,
676,2015-11-08,,,,,
677,2015-11-09,,,,,
678,2015-11-10,,,,,
679,2015-11-11,,,,,
680,2015-11-12,,,,,
681,2015-11-13,,,,,
682,2015-11-14,,,,,
683,2015-11-15,,,,,
684,2015-11-16,,,,,
685,2015-11-17,,,,,
686,2015-11-18,,,,,
687,2015-11-19,,,,,
688,2015-11-20,,,,,
689,2015-11-21,,,,,
690,2015-11-22,,,,,
691,2015-11-23,,,,,
692,2015-11-24,,,,,
693,2015-11-25,,,,,
694,2015-11-26,,,,,
695,2015-11-27,,,,,
696,2015-11-28,,,,,
697,2015-11-29,,,,,
698,2015-11-30,,,,,
699,2015-12-01,,,,,
700,2015-12-02,,,,,
701,2015-12-03,,,,,
702,2015-12-04,,,,,
703,2015-12-05,,,,,
704,2015-12-06,,,,,
705,2015-12-07,,,,,
706,2015-12-08,,,,,
707,2015-12-09,,,,,
708,2015-12-10,,,,,
709,2015-12-11,,,,,
710,2015-12-12,,,,,
711,2015-12-13,,,,,
712,2015-12-14,,,,,
713,2015-12-15,,,,,
714,2015-12-16,,,,,
715,2015-12-17,,,,,
716,2015-12-18,,,,,
717,2015-12-19,,,,,
718,2015-12-20,,,,,
719,2015-12-21,,,,,
720,2015-12-22,,,,,
721,2015-12-23,,,,,
722,2015-12-24,,,,,
723,2015-12-25,,,,,
724,2015-12-26,,,,,
725,2015-12-27,,,,,
726,2015-12-28,,,,,
727,2015-12-29,,,,,
728,2015-12-30,,,,,
729,2015-12-31,,,,,
730,2016-01-01,,,,,
731,2016-01-02,,,,,
732,2016-01-03,,,,,
733,2016-01-04,,,,,
734,2016-01-05,,,,,
735,2016-01-06,,,,,
736,2016-01-07,,,,,
737,2016-01-08,,,,,
738,2016-01-09,,,,,
739,2016-01-10,,,,,
740,2016-01-11,,,,,
741,2016-01-12,,,,,
742,2016-01-13,,,,,
743,2016-01-14,,,,,
744,2016-01-15,,,,,
745,2016-01-16,,,,,
746,2016-01-17,,,,,
747,2016-01-18,,,,,
748,2016-01-19,,,,,
749,2016-01-20,,,,,
750,2016-01-21,,,,,
751,2016-01-22,,,,,
752,2016-01-23,,,,,
753,2016-01-24,,,,,
754,2016-01-25,,,,,
755,2016-01-26,,,,,
756,2016-01-27,,,,,
757,2016-01-28,,,,,
758,2016-01-29,,,,,
759,2016-01-30,,,,,
760,2016-01-31,,,,,
761,2016-02-01,,,,,
762,2016-02-02,,,,,
763,2016-02-03,,,,,
764,2016-02-04,,,,,
765,2016-02-05,,,,,
766,2016-02-06,,,,,
767,2016-02-07,,,,,
768,2016-02-08,,,,,
769,2016-02-09,,,,,
770,2016-02-10,,,,,
771,2016-02-11,,,,,
772,2016-02-12,,,,,
773,2016-02-13,,,,,
774,2016-02-14,,,,,
775,2016-02-15,,,,,
776,2016-02-16,,,,,
777,2016-02-17,,,,,
778,2016-02-18,,,,,
779,2016-02-19,,,,,
780,2016-02-20,,,,,
781,2016-02-21,,,,,
782,2016-02-22,,,,,
783,2016-02-23,,,,,
784,2016-02-24,,,,,
785,2016-02-25,,,,,
786,2016-02-26,,,,,
787,2016-02-27,,,,,
788,2016-02-28,,,,,
789,2016-02-29,,,,,
790,2016-03-01,,,,,
791,2016-03-02,,,,,
792,2016-03-03,,,,,
793,2016-03-04,,,,,
794,2016-03-05,,,,,
795,2016-03-06,,,,,
796,2016-03-07,,,,,
797,2016-03-08,,,,,
798,2016-03-09,,,,,
799,2016-03-10,,,,,
800,2016-03-11,,,,,
801,2016-03-12,,,,,
802,2016-03-13,,,,,
803,2016-03-14,,,,,
804,2016-03-15,,,,,
805,2016-03-16,,,,,
806,2016-03-17,,,,,
807,2016-03-18,,,,,
808,2016-03-19,,,,,
809,2016-03-20,,,,,
810,2016-03-21,,,,,
811,2016-03-22,,,,,
812,2016-03-23,,,,,
813,2016-03-24,,,,,
814,2016-03-25,,,,,
815,2016-03-26,,,,,
816,2016-03-27,,,,,
817,2016-03-28,,,,,
818,2016-03-29,,,,,
819,2016-03-30,,,,,
820,2016-03-31,,,,,
821,2016-04-01,,,,,
822,2016-04-02,,,,,
823,2016-04-03,,,,,
824,2016-04-04,,,,,
825,2016-04-05,,,,,
826,2016-04-06,,,,,
827,2016-04-07,,,,,
828,2016-04-08,,,,,
829,2016-04-09,,,,,
830,2016-04-10,,,,,
831,2016-04-11,,,,,
832,2016-04-12,,,,,
833,2016-04-13,,,,,
834,2016-04-14,,,,,
835,2016-04-15,,,,,
836,2016-04-16,,,,,
837,2016-04-17,,,,,
838,2016-04-18,,,,,
839,2016-04-19,,,,,
840,2016-04-20,,,,,
841,2016-04-21,,,,,
842,2016-04-22,,,,,
843,2016-04-23,,,,,
844,2016-04-24,,,,,
845,2016-04-25,,,,,
846,2016-04-26,,,,,
847,2016-04-27,,,,,
848,2016-04-28,,,,,
849,2016-04-29,,,,,
850,2016-04-30,,,,,
851,2016-05-01,,,,,
852,2016-05-02,,,,,
853,2016-05-03,,,,,
854,2016-05-04,,,,,
855,2016-05-05,,,,,
856,2016-05-06,,,,,
857,2016-05-07,,,,,
858,2016-05-08,,,,,
859,2016-05-09,,,,,
860,2016-05-10,,,,,
861,2016-05-11,,,,,
862,2016-05-12,,,,,
863,2016-05-13,,,,,
864,2016-05-14,,,,,
865,2016-05-15,,,,,
866,2016-05-16,,,,,
867,2016-05-17,,,,,
868,2016-05-18,,,,,
869,2016-05-19,,,,,
870,2016-05-20,,,,,
871,2016-05-21,,,,,
872,2016-05-22,,,,,
873,2016-05-23,,,,,
874,2016-05-24,,,,,
875,2016-05-25,,,,,
876,2016-05-26,,,,,
877,2016-05-27,,,,,
878,2016-05-28,,,,,
879,2016-05-29,,,,,
880,2016-05-30,,,,,
881,2016-05-31,,,,,
882,2016-06-01,,,,,
883,2016-06-02,,,,,
884,2016-06-03,,,,,
885,2016-06-04,,,,,
886,2016-06-05,,,,,
887,2016-06-06,,,,,
888,2016-06-07,,,,,
889,2016-06-08,,,,,
890,2016-06-09,,,,,
891,2016-06-10,,,,,
892,2016-06-11,,,,,
893,2016-06-12,,,,,
894,2016-06-13,,,,,
895,2016-06-14,,,,,
896,2016-06-15,,,,,
897,2016-06-16,,,,,
898,2016-06-17,,,,,
899,2016-06-18,,,,,
900,2016-06-19,,,,,
901,2016-06-20,,,,,
902,2016-06-21,,,,,
903,2016-06-22,,,,,
904,2016-06-23,,,,,
905,2016-06-24,,,,,
906,2016-06-25,,,,,
907,2016-06-26,,,,,
908,2016-06-27,,,,,
909,2016-06-28,,,,,
910,2016-06-29,,,,,
911,2016-06-30,,,,,
912,2016-07-01,,,,,
913,2016-07-02,,,,,
914,2016-07-03,,,,,
915,2016-07-04,,,,,
916,2016-07-05,,,,,
917,2016-07-06,,,,,
918,2016-07-07,,,,,
919,2016-07-08,,,,,
920,2016-07-09,,,,,
921,2016-07-10,,,,,
922,2016-07-11,,,,,
923,2016-07-12,,,,,
924,2016-07-13,,,,,
925,2016-07-14,,,,,
926,2016-07-15,,,,,
927,2016-07-16,,,,,
928,2016-07-17,,,,,
929,2016-07-18,,,,,
930,2016-07-19,,,,,
931,2016-07-20,,,,,
932,2016-07-21,,,,,
933,2016-07-22,,,,,
934,2016-07-23,,,,,
935,2016-07-24,,,,,
936,2016-07-25,,,,,
937,2016-07-26,,,,,
938,2016-07-27,,,,,
939,2016-07-28,,,,,
940,2016-07-29,,,,,
941,2016-07-30,,,,,
942,2016-07-31,,,,,
943,2016-08-01,,,,,
944,2016-08-02,,,,,
945,2016-08-03,,,,,
946,2016-08-04,,,,,
947,2016-08-05,,,,,
948,2016-08-06,,,,,
949,2016-08-07,,,,,
950,2016-08-08,,,,,
951,2016-08-09,,,,,
952,2016-08-10,,,,,
953,2016-08-11,,,,,
954,2016-08-12,,,,,
955,2016-08-13,,,,,
956,2016-08-14,,,,,
957,2016-08-15,,,,,
958,2016-08-16,,,,,
959,2016-08-17,,,,,
960,2016-08-18,,,,,
961,2016-08-19,,,,,
962,2016-08-20,,,,,
963,2016-08-21,,,,,
964,2016-08-22,,,,,
965,2016-08-23,,,,,
966,2016-08-24,,,,,
967,2016-08-25,,,,,
968,2016-08-26,,,,,
969,2016-08-27,,,,,
970,2016-08-28,,,,,
971,2016-08-29,,,,,
972,2016-08-30,,,,,
973,2016-08-31,,,,,
974,2016-09-01,,,,,
975,2016-09-02,,,,,
976,2016-09-03,,,,,
977,2016-09-04,,,,,
978,2016-09-05,,,,,
979,2016-09-06,,,,,
980,2016-09-07,,,,,
981,2016-09-08,,,,,
982,2016-09-09,,,,,
983,2016-09-10,,,,,
984,2016-09-11,,,,,
985,2016-09-12,,,,,
986,2016-09-13,,,,,
987,2016-09-14,,,,,
988,2016-09-15,,,,,
989,2016-09-16,,,,,
990,2016-09-17,,,,,
991,2016-09-18,,,,,
992,2016-09-19,,,,,
993,2016-09-20,,,,,
994,2016-09-21,,,,,
995,2016-09-22,,,,,
